#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2018 01 09 08 50 245  7.7  9.4  0.61  3.45  3.22 243 1014.8   0.9  -0.9 999.0 99.0 99.00
2018 01 09 09 50 255  7.7  9.8  0.56  3.33  3.40 251 1014.5   1.0  -0.9 999.0 99.0 99.00
2018 01 09 10 50 259  6.0  7.1  0.52  3.57  3.52 252 1014.7   0.6  -1.0 999.0 99.0 99.00
2018 01 09 11 50 278  7.3  8.4  0.44  3.70  3.61 271 1015.2   0.5  -1.5 999.0 99.0 99.00
2018 01 09 12 50 280  7.2  8.9  0.51  4.00  3.57 277 1015.8   0.3  -1.5 999.0 99.0 99.00
2018 01 09 13 50 270  5.8  6.5  0.62  4.00  3.79 278 1016.2   0.0  -1.6 999.0 99.0 99.00
2018 01 09 14 50 277  6.6  7.7  0.51  4.17  3.52 273 1016.8   0.6  -1.6 999.0 99.0 99.00
2018 01 09 15 50 279  9.1 10.6  0.63  3.70  3.40 273 1016.9   1.0  -1.6 999.0 99.0 99.00
2018 01 09 16 50 285  9.8 11.5  0.64  3.85  3.33 274 1015.9   1.2  -1.5 999.0 99.0 99.00
2018 01 09 17 50 274  8.1  9.2  0.64  3.70  3.30 266 1016.4   1.5  -1.4 999.0 99.0 99.00
2018 01 09 18 50 278  8.6  9.8  0.62  3.70  3.16 275 1016.6   1.8  -1.4 999.0 99.0 99.00
2018 01 09 19 50 279  6.2  7.5  0.61  3.70  3.12 262 1017.4   1.8  -1.3 999.0 99.0 99.00
2018 01 09 20 50 282  5.5  6.3  0.51  3.45  3.09 274 1018.5   1.5  -1.1 999.0 99.0 99.00
2018 01 09 21 50 290  6.4  7.5  0.48  3.33  3.22 288 1019.7   1.3  -1.0 999.0 99.0 99.00
2018 01 09 22 50 287  7.3  8.3  0.43  3.13  3.33 276 1020.8   1.2  -1.0 999.0 99.0 99.00
2018 01 09 23 50 302  6.8  7.7  0.42  3.57  3.44 251 1022.1   1.0  -1.1 999.0 99.0 99.00
2018 01 10 00 50 295  4.8  6.6  0.37  3.70  3.46 267 1023.2   0.2  -1.4 999.0 99.0 99.00
2018 01 10 01 50 316  6.4  7.4  0.39  3.70  3.32 272 1023.7   0.1  -1.5 999.0 99.0 99.00
2018 01 10 02 50 313  6.8  8.1  0.50  3.57  3.27 287 1024.9  -0.1  -1.5 999.0 99.0 99.00
2018 01 10 03 50 298  6.8  8.7  0.48  3.33  3.37 295 1026.2  -0.3  -1.5 999.0 99.0 99.00
