#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2018 02 06 08 50 304  1.8  2.7  0.44  4.35  4.02  92 1026.5  -3.2   1.3 999.0 99.0 99.00
2018 02 06 09 50 295  0.8  1.2  0.42 10.00  4.41  80 1026.7  -3.0   1.5 999.0 99.0 99.00
2018 02 06 10 50 259  1.1  2.4  0.37 10.81  4.45  70 1026.7  -2.9   1.7 999.0 99.0 99.00
2018 02 06 11 50 266  1.4  2.1  0.29 12.90  4.63  93 1027.4  -2.8   1.6 999.0 99.0 99.00
2018 02 06 12 50 211  3.8  4.8  0.29 12.12  4.86  63 1028.0  -2.2   1.5 999.0 99.0 99.00
2018 02 06 13 50 240  4.7  5.8  0.28 10.81  5.25  93 1028.8  -1.4   1.5 999.0 99.0 99.00
2018 02 06 14 50 257  5.2  6.3  0.26 12.12  4.92 225 1029.6  -0.9   1.6 999.0 99.0 99.00
2018 02 06 15 50 236  2.6  3.3  0.24 99.00  3.72 999 1029.8  -1.0   1.7 999.0 99.0 99.00
2018 02 06 16 50 248  4.1  5.1  0.23 99.00  3.71 999 1029.1  -0.7   1.8 999.0 99.0 99.00
2018 02 06 17 50 247  3.2  3.8  0.23 99.00  3.85 999 1028.4  -0.5   1.7 999.0 99.0 99.00
2018 02 06 18 50 272  2.1  3.3  0.28 10.81  4.17  37 1028.0  -0.6   1.7 999.0 99.0 99.00
2018 02 06 19 50 162  0.7  1.5  0.32 10.00  4.38  73 1027.5  -0.4   1.6 999.0 99.0 99.00
2018 02 06 20 50 168  0.7  1.1  0.39 10.00  4.46  99 1028.1  -0.4   1.6 999.0 99.0 99.00
2018 02 06 21 50 234  1.9  2.3  0.39 10.81  4.62  92 1028.6  -0.1   1.7 999.0 99.0 99.00
2018 02 06 22 50 245  2.1  2.6  0.32 10.81  5.01  99 1029.6   0.3   1.7 999.0 99.0 99.00
2018 02 06 23 50 281  2.0  2.4  0.28 11.43  4.84 100 1030.7   0.3   1.7 999.0 99.0 99.00
2018 02 07 00 50 251  1.8  2.3  0.25 12.12  5.44  51 1031.1   0.4   1.8 999.0 99.0 99.00
2018 02 07 01 50 285  1.8  2.1  0.25 99.00  5.39 999 1031.8   0.4   1.9 999.0 99.0 99.00
2018 02 07 02 50 312  3.2  3.6  0.25 11.43  5.33  73 1032.6   0.5   1.8 999.0 99.0 99.00
2018 02 07 03 50 321  3.9  4.6  0.22 99.00  4.97 999 1032.8   0.4   1.7 999.0 99.0 99.00
2018 02 07 04 50 344  5.0  6.0  0.22 99.00  3.79 999 1033.3   0.2   1.7 999.0 99.0 99.00
2018 02 07 05 50 359  4.5  5.4  0.23 99.00  2.88 999 1033.4   0.1   1.7 999.0 99.0 99.00
2018 02 07 06 50  10  4.2  5.0  0.19 99.00  3.31 999 1033.6   0.1   1.7 999.0 99.0 99.00
2018 02 07 07 50   7  4.7  5.3  0.22 99.00  3.85 999 1033.5   0.1   1.6 999.0 99.0 99.00
2018 02 07 08 50  14  5.0  6.2  0.31  9.09  3.85  90 1033.1  -0.2   1.5 999.0 99.0 99.00
2018 02 07 09 50  12  5.2  6.1  0.35  9.09  3.75  83 1033.0  -0.2   1.5 999.0 99.0 99.00
2018 02 07 10 50  14  5.7  6.4  0.33  9.09  3.26  56 1032.6  -0.1   1.6 999.0 99.0 99.00
2018 02 07 11 50  33  4.5  5.4  0.32 10.00  3.17  55 1031.9   0.1   1.6 999.0 99.0 99.00
2018 02 07 12 50  81  4.8  5.8  0.25 10.00  3.38  45 1032.3   1.6   1.8 999.0 99.0 99.00
